"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002159526678","https://ae04.alicdn.com/kf/H50ca083caede4f71a11a736549236255v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/317297753735.mp4","1:8 1:12 RC Car 2.4G Radio Control 4WD Off-road Electric Vehicle Monster Buggy Remote Control Car Gift Toys For Children Boys","USD 28.93","USD 21.70","25%","USD","8.0","USD 1.74","23","92.0%","https://s.click.aliexpress.com/e/_Dmg5DlH"
"1005004253095073","https://ae04.alicdn.com/kf/Sefab085c66ac4fb7b97234ebddcb8d88a.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100024018442.mp4","150M 80CM Large Alloy Electric Remote Control Helicopter Model 3.5CH Anti-Fall All Body LED Light RC Helicopter Kids Adult Toy","USD 80.00","USD 44.00","45%","USD","7","USD 3.08","194","94.2%","https://s.click.aliexpress.com/e/_DkdspGF"
"1005003385451498","https://ae04.alicdn.com/kf/S1bd4cf68278746a7a2f5d49e9b0c54aaH.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/330987691251.mp4","V8 Wholesale Induction Control RC Helicopters Toy Gift FPV VR Mini Drone 4k HD Aerial Photography Folding Quadcopter With Camera","USD 57.62","USD 25.93","55%","USD","8.0","USD 2.07","67","91.1%","https://s.click.aliexpress.com/e/_Depcul1"
"1005003283017610","https://ae04.alicdn.com/kf/Sedf5b18eeb314d9d81b4c6f3ba46431cq.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/326866874378.mp4","Remote Control Snake And Egg Rattlesnake Animal Trick Terrifying Mischief Toys Rechargeable Funny Joke Gift For Children","USD 21.51","USD 12.48","42%","USD","7","USD 0.87","23","97.1%","https://s.click.aliexpress.com/e/_DCnuIXz"
"1005002096886748","https://ae04.alicdn.com/kf/H82799f8492b449f7a0fc3dfd4cce170fc.jpg",,"Baby Simulation TV Remote Control Kids Educational Music English Learning Toy Kids Educational Music English Learning Toy Gifts","USD 3.86","USD 2.70","30%","USD","8.0","USD 0.22","87","96.4%","https://s.click.aliexpress.com/e/_DDUppwn"
"1005004094424117","https://ae04.alicdn.com/kf/Scec413291b054c6c94d19ad30f8357baj.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100019003898.mp4","Eachine E150 RC Helicopter 2.4G 6CH 6-Axis Gyro 3D6G Dual Brushless Motor Flybarless RTF Compatible With FUTABA S-FHSS Toys","USD 545.98","USD 283.91","48%","USD","3","USD 8.52","47","96.9%","https://s.click.aliexpress.com/e/_DFWdaA3"
"1005004582437277","https://ae04.alicdn.com/kf/Sfdb18593c5ae4579bbe8fc753a9e02a7G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100073532029.mp4","2022 NEW XT5 Pro GPS Drone 4K HD 2DC Professional Aerial Photography 360° Obstacle Avoidance Drone Brushless Quadcopter RC Toy","USD 31.61","USD 15.80","50%","USD","10.0","USD 1.58","26","100.0%","https://s.click.aliexpress.com/e/_DFfXd2f"
"1005004432348303","https://ae04.alicdn.com/kf/S40b2b8e0abef4b708c6732ab1e880a541.jpg",,"Two-Channel Suspension RC Helicopter Drop-resistant Induction Suspension Aircraft Charging Light Aircraft Kids Toy Gift for Kid","USD 2.35","USD 1.64","30%","USD","7","USD 0.11","1334","88.3%","https://s.click.aliexpress.com/e/_DkH2yyR"
"1005002237109991","https://ae04.alicdn.com/kf/H2f8ee77c22f64704a0977b9a9682d422e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/212355096090.mp4","HSP RC Car 1:10 Scale 4wd Two Speed Off Road Buggy Nitro Gas Power Remote Control Car 94106 Warhead High Speed Hobby Toys","USD 245.82","USD 208.95","15%","USD","8.0","USD 16.72","52","98.8%","https://s.click.aliexpress.com/e/_DlwyIZp"
"1005002232998952","https://ae04.alicdn.com/kf/Hae4433fb529346fe83c78452c7fb32c5n.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/307963134976.mp4","Hot 9115m Mini RC car 1:32 Full Scale 4CH 2WD 2.4GHz Off-Road RC Racing Car Truck Vehicle High Speed 20km/h Remote Toy for Kids","USD 12.37","USD 9.77","21%","USD","7","USD 0.68","46","94.7%","https://s.click.aliexpress.com/e/_DCMK7Ub"
